That’s a wrap. #SpotifyWrapped,2021-12-02 15:49:00,What about red and blue by B double E Still my go to game day jam!,Very creative!,Pamela Crawford I like that last song! 😉,Amy Jo Herrera the Crunchy Chicken Cheddar Wrap 🤣,Crimson (Taylor’s Version) 😂😂🤣😂😁😂🤣 that’s funny s***,Joseph David,This is great 👏👏,Someone at KU is being very creative.,Grant Laws Stewart,Bravo to the SMM 🤣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU engineering students used their skills over the past year to create a device expected to change the life of a toddler with disabilities — they redesigned and renovated a small steerable bumper car that will help the girl explore her world.  NEWS.KU.EDU KU Engineering students reimagine scooter for toddler with disabilities,2021-07-14 16:04:03,Proud of my alma mater! It was very exciting to see Amira use it when they presented it to her at TARC!,RCJH,Thank you KU students!,Rock Chalk.👍,Rock Chalk!,Liz Lawlor::: show Jim!,Glenna Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congrats to the 65 students in KU’s Department of Theatre & Dance who have received year-end awards and scholarships of more than $175:::000. Read more about the students and the financial support.  NEWS.KU.EDU KU Department of Theatre & Dance names 2021 award winners,2021-07-13 15:00:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hey::: Jayhawks — do you know someone who’s ready to follow in your footsteps and walk like a 'Hawk? 👟 Tag them or share this to let them know KU’s application for fall 2022 is now open! apply.ku.edu,2021-07-12 19:43:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amy Hansen::: a KU assistant professor and water quality expert::: was the lead author on a report that found wetlands constructed along waterways are the most cost-effective way to reduce nitrate and sediment loads in large streams and rivers.  NEWS.KU.EDU Study shows wetlands are best mitigation for farm runoff,2021-07-12 14:59:02,In other words...the Kansas rivers would run clean. If we would have grass buffers between the fields and the water::: we wouldn't need millions of dollars to remove the mud and chemicals that erodes from the fields out of our water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
✨ Even our mascot has a majestic skyline.,2021-07-02 18:34:01,ROCK CHALK JAYHAWKS KU,MIZ,Emily Lasky,1923,Really,Mostly I searched for my wife's address::: she always stayed home while I was away::: although she was unemployed::: I told this story to my dear friend::: and he told me she was seeing someone else::: but every time he met me. Then he advised me to go to her phone and see things for myself. I contacted https:// cyberguard24.com /And he did everything. finished quickly within a short time. now I have a spyware that works with all her devices.,Academics about to start? Looking for a flawless support regards to your assignments::: home work and Project assistance? Reach us - Promising quality guaranteed!!!  WhatsApp +91 9959 841 945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU professors Michael Johnson::: William Picking::: and Shyam Sathyamoorthi::: have won J.R. and Inez Jay Research Fund awards for separate projects — one involves treating Parkinson’s disease and two address the fight against bacteria that cause illness.  NEWS.KU.EDU 2021 J.R. and Inez Jay Fund research awards,2021-07-02 15:30:11,EXCELLENT!! Congrats to all of you for your contributions to our health.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thanks to a $60:::000 National Endowment for the Humanities grant::: the Robert J. Dole Institute of Politics at KU will work with its partners to create an online portal that researchers can use to access a vast collection of congressional documents.  NEWS.KU.EDU NEH grant for Dole Institute of Politics,2021-07-01 15:28:03,Mark Kaufmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether IRL or illustrated::: Jayhawks always seem to have a winning smile.  📷: Hailing from St. Louis::: Ezra Park will make his KU debut this fall::: when he arrives on Mount Oread ready to study computer engineering. Ezra describes himself as outgoing::: a jack-of-all-trades::: and able to make friends with anyone. In other words::: he’s a Jayhawk. Rock Chalk::: Ezra!,2021-06-30 18:23:01,KU::: please start putting photo descriptions on photos you post to be accessible for people who are blind. Thank you.,Hey that’s me!,Rock Chalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A KU professor’s new study uses jazz to explain Tulsa’s widely acclaimed long-term response to two major devastating floods — solutions evolved through a collaboration of individuals and teams::: improvising as musicians do to create jazz.  NEWS.KU.EDU Jazz-style urban planning in Tulsa,2021-06-30 15:21:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations to the two outstanding Jayhawks selected for this year’s Astronaut Scholarship. Julian Moreno::: an aerospace engineering major::: and Jonah Stiel::: a chemistry major::: will each receive a $15:::000 scholarship to fund their research in STEM disciplines.  NEWS.KU.EDU Two KU students earn Astronaut Scholarships,2021-06-29 19:19:07,Congratulations to you both!,Congrats Jonah!!!!!,Bravo! It’s exciting to see our youth enthusiastic about science!,So proud of you Jonah Stiel💕💕,Josh Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU professor Devon Mihesuah’s new novel::: “The Hatak Witches:::” merges real-life Native American experiences::: such as racism and violence::: with fiction. Read more about the author::: an enrolled citizen of the Choctaw Nation of Oklahoma.  NEWS.KU.EDU Keeping it real in fiction,2021-06-29 15:18:01,Thank you for promoting indigenous stories!,That's my mommy!! Devon Mihesuah,I added it to my Acquisitions List.,I’ll look into the book. Looks like an interesting read.,KU Authors are everything!,Brianna Wessling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🌈 The gold at the end of the rainbow? Turns out it’s limestone. (Not that we're complaining.),2021-06-28 18:14:03,"""Where troubles melt like lemondrpps...""",Must be from the excessive dollar figure that you charge folks per credit hour to attend classes there.,Oh::: it’s still pointing to the gold. Some of mine has passed through there. 😉,Rock chalk!,Kaylie Corbett,Abigail Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congrats to KU alumnus Tony Reames::: a national leader in research on energy equity::: who has been appointed as a senior adviser in the U.S. Department of Energy. Reames received a doctorate in public affairs and administration from KU in 2013.  NEWS.KU.EDU KU alumnus named adviser to US Department of Energy,2021-06-28 15:14:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🏖️ To get in the spirit of the summer semester::: we've decided to convert Wescoe Beach into an actual beachfront.* Big thanks to our friends at Drone Lawrence for this awesome rendering!  * OK::: we aren't actually turning campus into a beach. Yet.,2021-06-25 18:34:01,"Excellent work!! Fantasy indeed. And it really would be the ONLY thing that could possibly redeem this horrific::: nasty 1960's-70's brutalist design. As with many American universities and/or businesses::: nobody could have foreseen the architectural decline to the bomb shelter designs of the era::: and nobody knew the era would (fortunately!) come to pass. Turns out it was a blessing the budget kept getting cut or it would have been an even higher::: uglier eyesore of a building. With indoor-outdoor carpeting (just the NAME itself - !!!) and narrow windows that either (1) would not open at all::: or (2) after opening a few times::: would never open again because the cheap hardware stopped functioning. - any chance we could buy a gigantic ""building wrap"" and make it look entirely different??",TBH: Water skiing from JRP to Frayser would have been awesome back in the day. (Maybe not in the winter::: but still...),You’ve got that right. Remember the days of hanging out on the steps in the cold!,Remember the Kansas River flood of 1951. It probably would not reach Jayhawk Blvd if it happens again. Not even with global warming-caused shrinking coasts.,WHERE'S THE TIKI BAR AND JET SKI RENTAL??!,Who wants a parking garage design at the beach???🤔🤪🤣,Never did hang out there. Way too crowded.,"""Outdoor recreation and tiki bar management"" would be a sweet summer semester course!",I've heard when a shark hits you::: you get free tuition.,So when are they building a pool on the roof?😂,San Diego Campus?!,Jessi Ganoung,Allie Sanford,Emma Nizami ❤️💙,Heather Demand LOL,Ugliest building on campus.,Always the biggest misnomer 🤣,Where is the Tan Man???!!,If only…,https:// drive.google.com /file/d/ 15g6KMsBTON5Yo-\-\ B30Qho8n7O_udWe V8/ view?fbclid=IwAR 2vP47Zwqoz08bvD G5ow7Hv8x53sfht hVQ_p2PVwPVttqf wmWwk234c69Q,Mary Horsch Tritsch Jenifer Stern haha::: if only!,https:// www.gofundme.com /f/ help-my-cousin-a my-finish-her-c ollege?utm_camp aign=p_cf+share -flow-1&utm_med ium=chat&utm_so urce=whatsapp,"Need a campus adjunct in the Virgin Islands. Let me know if you need a manager for it... ""Hawk Nest V.I.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes::: you can do meaningful mentored research as an undergraduate at KU — a dozen students will each receive $1:::000 awards to pursue their various research and creative projects this summer. Learn about them and KU’s Center for Undergraduate Research.  NEWS.KU.EDU Summer Undergraduate Research Awards,2021-06-25 15:46:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meet one of our new favorite ""Jay-nines""::: Storm. He isn’t just a good boy — he’s a GREAT boy 🐾 Rock Chalk::: Storm!  📷: Thanks to Storm’s humans::: Stephanie and Kaden!",2021-06-25 00:24:02,Sammys are the BEST…,Eduardo Govea Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congrats to Joseph Hartung::: a KU senior from St. Louis::: who has received a public service scholarship from Phi Beta Kappa Society::: the most prestigious academic honor society in the country. Read more about Hartung’s achievements and the award:  NEWS.KU.EDU Joseph Hartung named a Key into Public Service Scholar,2021-06-24 15:16:02,Congratulations ::: Joseph! Well deserved!,Woohoo! Great job::: Joseph!!,You always had it in you!! Congrats! 👏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The view far::: FAR above the golden valley? Yep::: still pretty glorious.,2021-06-23 18:28:06,Re Wescoe: Given that the alternative design was about a 10 to 15 story tower -\-\ this building with its decks and beach is a genius solution for badly needed central campus lecture halls::: foreign languages home and an eatery.... Doesn't obstruct totally the view of the valley::: dosn't diminish Strong or the row of old native stone buildings that survived... But I never actually used the building as a student::: tho people close to me had offices and taught there. Big improvement over Carruth-O'Leary in many ways most seem to think at the time. Huge numbers of windowless offices pretty yucky....,"Someday far in the future when KU has more than two schillings to rub together::: my hope is that a new::: more historically & architecturally appropriate roof will be put on top of this most needed ""new Fraser"" ...",Rock Chalk Baby,To view!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three KU students — Samuel Buse::: Gabrielle Doue::: and Isabel Keleti — have won Fulbright U.S. Student Awards for the 2021-22 academic year::: enabling them to study::: conduct research::: and teach English abroad. Read about students and their plans.  NEWS.KU.EDU Three KU students earn Fulbright Awards,2021-06-23 16:16:29,Congratulations 👏,Wow! Congrats!,..Congratulatio ns from Malaysia - Ex KU grad...,Congrats!!,Congratulations 👍🏻❤,Outstanding!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congratulations to Brian Atkinson::: a KU paleobotanist::: who has received the 2021 Emerging Leader Award from the Botanical Society of America. Learn more about Atkinson::: an assistant professor of ecology and evolutionary biology::: and his achievements:  BIODIVERSITY.KU.EDU Brian Atkinson::: KU paleobotanist::: wins national Emerging Leader Award,2021-06-22 16:20:03,Congratulations !! That’s awesome!!,Congratulations Brian!,Rock chalk::: Brian!,We are Kansas!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A five-year::: $2.4 million grant will allow a team of KU researchers at the Juniper Gardens Children’s Project to study how effective online specialized the effectiveness of telehealth interventions are for children with autism.  NEWS.KU.EDU KU autism spectrum disorder researchers receive $2.4M grant,2021-06-22 15:45:11,Outstanding!!,You lost me with the description.,We are Kansas!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besties Kara and Maddie have been neighbors since they were five — and soon::: they’ll continue that tradition at KU. Give your best Rock Chalk to these new Jayhawks!  📷: Kara Graham,2021-06-21 18:24:09,Rock Chalk! Have a wonderful time On the Hill!,I think that's awesome! Hope you have a great time at KU! Rock Chalk Jayhawk Go KU!!,❤️💙,Rock Chalk Jayhawk! Ladies! I think it’s time to Wave the Wheat! Welcome to KU! We are Kansas!,Phoenix Kaufmann omg its us!,Get ready for the time of your life girls!!,Cool!,That’s awesome ladies! Enjoy your college career and your continued friendship!,Awww 🥰 have fun on the hill lady JHawks 🥰🥰🥰,Brooke Elizabeth Psh! Try since birth! #kittykatclubtok u 😉😄,Yahoo - GO JAYHAWKS!,❤️💙,The blonde is cute. 😍,Excitement abounds!!!!,RCJHKU! ❤️💙 Enjoy every minute!,RJJH KU! ♥️💙♥️💙♥️💙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congrats to the 11 KU doctoral students who will receive prestigious Madison and Lila Self Graduate Fellowships for the 2021-22 academic year. Learn more about the students and the four-year fellowships::: which each exceed $180:::000 in total value.  NEWS.KU.EDU KU announces new 2021-2025 Self Graduate Fellows,2021-06-21 15:11:04,Congratulations !We are Kansas!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU has received two major awards from the National Endowment for the Humanities — one for expanding cultural diversity represented in the gallery exhibitions at the Spencer Museum of Art and another for the Project on the History of Black Writing.  NEWS.KU.EDU Increasing diversity + access in art::: literature,2021-06-17 18:35:03,We are Kansas!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you like your sushi? A new book by Eric Rath::: a KU history professor::: takes a fresh look at sushi’s history and how it evolved from humble street food to high-class cuisine.  NEWS.KU.EDU Sushi history,2021-06-16 18:19:09,Wa’s Sean Connery roll was my favorite in Lawrence!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imagine: 🌤️ It's a beautiful summer day on Mount Oread::: you're traveling from Fraser Hall to the Chi Omega fountain::: and you get to choose one mode of transportation. Which are you choosing?  🚏 Four wheels 🚲 Two wheels 🤯 or ONE WHEEL?,2021-06-16 15:51:21,4 wheels. I'm thankful KU has options to make campus accessible for people like me that use mobility devices 💙❤,Zero. Legs - and I know how to use them (and thank goodness::: also have the ability).,Walking down Jayhawk Blvd. It is always too pretty not to! (Now the stairs behind Mallott Hall - no thank you 😂😬),I’m heading straight for THE Wheel 🍕 🍺,no wheels::: walking.,Definitely walking!,My two feet. 😄,2 feet.....,My feet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
