Planting more trees just may help cool the planet according to a new study from High Meadows Environmental Institute researchers. 🌳  The report focuses on a crucial component — clouds. ☁️  ENVIRONMENT.PRINCETON.EDU Greater cloud formation over forests suggests replanting may cool the planet more than thought,2021-08-13 12:13:00,Please replant PUs 271 acre parcel in SB/ PlainsB. Selling it for mixed-use development will speed climate change. Why harm our atmosphere/ watershed/ health & reduce oxygen::: when planting that acreage would make a great environmental project for students & offset PUs carbon footprint? Please LISTEN to your wise Scientists.,Oh that’s a great idea. Here in Louisiana it’s humid so I always say it’s raining all the time,Some things are just common sense,agree!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective today::: August 11::: all faculty::: staff and students regardless of vaccination status::: must wear a face covering indoors in buildings occupied by the University. Exceptions to this requirement include when in one’s own dormitory room or suite::: when working alone in a room or cubicle or when actively eating or drinking.  This indoor face covering requirement will be evaluated weekly by a team of physicians and scientists. The next update on the indoor face covering requirement will be communicated to the campus community by August 23.  Visit the Princeton COVID-19 Policies and Guidance page for more information: https://bit.ly/3CI0l1N,2021-08-11 19:33:23,Please note: By August 23::: the University will update guidance regarding teaching and classroom use. Further::: we will communicate the next update on the indoor face covering requirement::: as the policy will be evaluated weekly by a team of physicians and scientists. By September 15::: the University will determine whether to end::: modify or extend the indoor face coverings requirement. This time will allow us to evaluate the COVID case rate of the campus community following the increase in students::: faculty and staff returning for the fall semester.,Proud of my alma mater for making this decision to protect the health of its students.,What kind of face covering? N95 or KN95? Medical mask? Cloth masks? If you are making a mandate like this::: might as well make it be actually effective instead of stupid.,Disappointed the university is not requiring vaccinations for Covid. Sad.,Princeton University does this include their dorm rooms? Assuming it includes their classrooms?,On Aug 12 you must drive on the left lane,Vaccine doesn't stop delta spread entirely::: awareness is needed; i feel safe on campus now,Don't make a mistake::: don't take risks::: this will end and then you'll be glad you protected your lungs. Study hard::: the world needs solutions,What loony decision is this? You suggesting vaccines don' t work?,Wonderful and smart decision! This is why I love Princeton University!,Ayesha Saleh,Joke,"Princeton University what about the eating clubs on ""the street""? How is the university controlling them??",Imagine having 99% of students fully vaccinated and still requiring masks in classrooms. Just let us have a virtual option if it's really dangerous enough to warrant this.,That’s the right thing to do; better than mandating every student be vaccinated. However::: I will pray they make the wise choice to be vaccinated on their own.,For any essay help::: hmu or email me,Totally agree 👏🏿👏🏿👏🏿,Sad but unfortunately necessary because so many people in this country are still rejecting the vaccine. Please get the jab (unless you have a legitimate health-reason for not being able to). For now::: good move PU.,Thank you!!,My niece’s Alma Mater. Rock on!,Proud of my alma mater!,Lets stay safe guys🙏🏾,Noted.,Abby Breitfeld wait I thought it was August 15. 😳 Good thing I checked. 😌,Great. But getting on board for rapid tests daily would be so much more effective. https:// www.nytimes.com/ 2021/06/09/ world/ in-germany-the-k ey-to-everyday- freedoms-is-a-r apid-virus-test .html,Vaccine breakthrough cases are expected. No vaccines are 100% effective at preventing illness in vaccinated people. There will be a percentage of fully vaccinated people who still get sick::: are hospitalized::: or DIE from COVID-19.,On August 12 you must .....?...,https:// www.sciencemag.o rg/news/2020/ 06/ abortion-opponen ts-protest-covi d-19-vaccines-u se-fetal-cells,My daughter Alma Mater 🙌🏿👊🏿✊🏿,This is not the best answer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakia White Barr::: secretary of the Board of Trustees at Michigan State University::: will join #PrincetonU as assistant vice president in the Office of the President.  Barr will start her new role on August 30.  PRINCETON.EDU Nakia White Barr named assistant vice president in the Office of the President,2021-08-11 14:26:06,Congratulations !!!,Congratulations !,Clya Mitztoo,Congrats,Welcome::: and congratulations !,Please how do I get admission into this school,Congrats miss,Congratulations !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""If you wouldn’t eat your sunscreen::: you probably shouldn’t apply it to your skin and let it sit there.""  #PrincetonU postdoc Micah Nelp won the Princeton Entrepreneurs’ Network Startup Pitch Competition with a biocompatible::: biodegradable sunscreen.  INNOVATION.PRINCETON.EDU Groves Lab sunscreen prototype wins pitch competition",2021-08-10 17:00:43,Bravo for human & sea life!! Thank you!!,Excellent!!,Wow thats amazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton professor Michael Oppenheimer joins PBS NewsHour to discuss the conclusions reached by the United Nations Intergovernmental Panel on Climate Change.  PBS.ORG U.N. panel paints grim future for humanity without drastic action to combat climate change,2021-08-09 19:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As #PrincetonU undergoes one of the most extensive building programs in its history over the next decade::: it is using the opportunity to lay the foundation needed to achieve #NetZero greenhouse gas emissions before mid-century.  PRINCETON.EDU The time is now,2021-08-09 09:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TellUsTigers: “As a woman of color who designs and sews historical costumes::: I don’t often see people like myself represented. I try to be mindful about who I ask to model my costumes::: so that I can increase the diversity of BIPOC images in the community. I’m excited about the Afrofuturist idea of taking parts of different histories::: stories and symbols and rewriting them through costuming to create a new narrative or work of art. I designed the costume I’m wearing here based on the character Winter Hayle-Blackburn from my favorite book series in middle school::: ‘The Lunar Chronicles’ by Marissa Meyer::: YA Author. Winter is the princess of Luna and proudly wears three scars down the side of her face as proof of her refusal to succumb to the wishes of her cruel stepmother Queen Levana. Most of the YA books I read back then had white protagonists::: so to find a character who I admired so much::: who was also not only Black but had a mixed racial identity::: meant the world to me! My design draws inspiration from Greek chitons — a tunic that fastens at the shoulder — and the drape of sari garments to highlight the cultural influences of both Winter’s home of Luna and her late mother. I’ve been sewing since I was 6 years old::: but I got into historical costuming in high school. I lean towards historical fantasy/historically inspired work rather than historical reproduction because it gives me freedom to counter the lack of mainstream BIPOC images in these eras. For example::: I might photograph myself in a buttoned-up 1910s European gown with my natural hair out and unstyled::: the focus being the natural contrast between these images or symbols. As a co-leader of Trenton Youth Theater (Trenton Arts at Princeton) at #PrincetonU last year::: I taught a couple of costume design workshops. I drew on the show ‘Natasha Pierre and the Great Comet of 1812:::’ one of my favorite examples of historical costume in theater. Hearing the students dissect & offer their opinions on a work I had admired for so long was exciting. I can't wait to be back on campus with other artists to collaborate and make art together!” — Tanaka Ngwara ’24; 📷 by Ella Claire Morgan ’24 #Princetagram,2021-08-08 15:38:05,Ms. Ngwara is amazing and I look forward to following her career.,Clya Mitztoo,Congratulations,after all the black-centric acronyms::: it's only white dresses. lol. talk about cultural appropriation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After leading the tournament in saves (80) and save percentage (64.5) for the second consecutive Olympiad::: #PrincetonU alumna Ashleigh Johnson '17 is::: once again::: a gold medalist! 🥇  #TigersInTokyo | #Tokyo2020  GOPRINCETONTIGERS.COM Johnson '17 and U.S. Capture Gold With 14-5 Takedown of Spain - Princeton University Athletics,2021-08-07 14:07:37,So proud! 👏👏👏👏👏,She was nothing short of AMAZING. A locomotive cheer for Ashleigh!! 🐯,Congrats!So exciting!!,Not an alumn::: but so impressed! Great run and congratulations !,Well done. Congratulations !,The legend continues.,Congratulations ❤️,AWESOME ABSOLUTELY AWESOME ⚘⚘⚘⚘⚘⚘⚘⚘⚘⚘⚘,She is amazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientists from #PrincetonU::: Allen Institute and Baylor College of Medicine have just released a collection data that marries a 3D wiring diagram with the function of tens of thousands of neurons — creating the most detailed examination of mammalian brain circuitry to date.  PRINCETON.EDU Scientists unveil brain wiring diagram with 200:::000 cells and half a billion connections,2021-08-06 15:49:10,DOOMSDAY::: SCIENCE AND NATURE  The universal run is on auto mode and may not be based merely on calculations looking to its vast range. It is purely inter dependence of matter in any form resulting in action and reaction equally::: but in visible and invisible output::: the latter is beyond science. The nature is supreme controlling::: balancing billions of stars::: planets and galaxies in the universe. Like different objects in the known universe there is a possibility of universal line ups well systematized. Majority of action is unknown. Could be the equal format of visible action and reaction output would be the same in the invisible to be absorbed in the natural process. Dark matter::: dark energy and normal matter are nothing but matter energy::: later resulting in gravitation::: anti-gravitatio n and recent anticipated gravitation ripples. In fact ripples are constant out of the universal function::: at the most may be a part of harmonious waves (developed at the time of universal birth simultaneously with series of bangs instead of a single bang). So all ripples can be bracketed as universal ripples helping to create or destroy energy and also in development of new objects::: shining or otherwise::: rotating or static. Environment disturbances varying from object to object create imbalance::: hitting on the life. The imbalance by the nature is turned ineffective so as not to cross the permissible limit by the absorption capacity::: being part of the overall scenario. Manmade pollution is of multiple facets and its impact is instant on living and non- living too. It is certain that objects bearing different strengths::: rotating or static carry peculiar ingredients; to give an example of the sun::: moon and earth; the first shining::: the second deriving sunlight and the third earth::: not like either. Matter is in particles and transforms into solid::: liquid and waves (space). Since pollution effect is on perennial path it speaks on fast ageing; in the process decomposing the original structure::: on which the earth placement::: rotation velocity was initially generated. Thus the earth may be out of the natural universal rhythm to face unforeseen hurdles. The immediate result will be that day and night timings will be derailed. Further the earth like an aero plane carrying living and nonliving as passengers on board with one time departure on the nonstop run::: would wobble due to change in structural design and climate::: the reason being pollution. Another critical man made crisis due to imbalance is even the natural elements will deny responding to the proved discovery formulas for the desired output.  Whatever it may be::: there would not be any doomsday. The earth might automatically push up or down in space depending upon universal ripples of gravitation and anti- gravitation elements prevailing and then get close or merged with other object of similar characteristics . Since there are infinite objects::: similar pattern formations cannot be denied. In view of the safe run::: no danger  2  Is anticipated. However this eventuality can be delayed to a major extent by pollution control.  The natural ageing of the earth with environment care is bound to be adjusted with accuracy by the universe; but not the forced ageing caused by pollution. Though the nature would not cause any doomsday for the earth due to time bound action of universal ripples::: it is absolutely necessary to stop pollution. It would not be strange that the natural pollution free switchover of the earth will be adjacent to another living object by the universal supreme energy. Science is powered by the nature. Standing on the shoulders of the nature let us love the mother earth and progress with scientific bend without any pollution. Discoveries to substitute the existing natural benefits for immediate laptop comforts need to be reconsidered. In short it is high time to get tuned with the natural process.  H V Navangul Age 86,Clya Mitztoo,how can connections be more than the cells ? it looks like a combinatorics problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As we prepare to return to campus::: the University is requiring face coverings for unvaccinated faculty::: staff and students indoors and is encouraging vaccinated individuals to also wear face coverings indoors.  While all undergrads::: grad students faculty::: staff::: researchers::: appointed visiting faculty and researchers::: temporary employees and independent contractors must receive and provide proof of having received a COVID-19 vaccine authorized by the FDA and/or WHO::: some individuals may be exempt from immunization requirements due to medical conditions or religious beliefs.  As we expand in-person activities on campus ahead of our fall return::: it is important to maintain our vigilance with appropriate health and safety measures.,2021-08-05 18:38:52,so::: the CDC guidance clearly recommends indoor mask use::: for BOTH vaccinated AND unvaccinated::: in counties with “Substantial” case rates. Mercer county is now in that category. So why isn’t Princeton following CDC guidance after being so careful for so long?,"WHY accept unvaccinated students::: staff and faculty (unless medical?) ""Princeton in nation's service "" implies that the University should and will do what is right for both the university and the country... I.e. require vaccinations.",Princeton grad '81::: but now teach at Stanford. Seems like for the fall quarter here::: _everyone_ will need to mask up. Thanks to Delta. Makes it unclear how much teaching will be in person versus (another) year of Zoom (sigh).,Thank you Princeton::: but why aren’t you requiring that all members of the University community::: vaccinated or not::: wear a mask? People that are vaccinated can still contract the virus.,Why aren't you requiring that all students::: faculty and staff be vaccinated?,Plan to revisited my alumni in 2022::: hopefully we will have the cure for Covid 19 by then,Although vaccinated I realized I hadn’t had so much as an allergy sneeze since the mask wearing started. I think it is a great idea so I just kept wearing it when in the presence of others.,Glad to hear strict policy at Princeton::: hopefully it will be practices in all colleges in the US,Religious exemption= Seventh Day Adventist members only? Or Church of AntiVaxxers also?,McKenzie Glenetske,If the vaccine works::: why do you care about the unvaccinated? Discrimination is wrong.,So you’re segregating and discriminating against the unvaccinated at your school now? Heard you were also introducing critical race theory this fall.... Remind me to never send my children to Princeton University!,Nancy Smith Seely,"This is a laugh episode? I am happy to see that in this case::: Covid thing::: educated people are less intelligent than uneducated people. But soon ""uneducated"" will be erased from vocabulary as offensive :) and uneducated people will be just... people.",Nicole,Happy to hear this! Wonderful news 🤍,Way to go!,The unvaccinated ARE the ones not wearing masks.,need assistance with your assignment Dm me ::: email: proslim94@gmail .com +254745437629,need assistance with your assignment Dm me ::: email: proslim94@gmail .com +254745437629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9️⃣ exploratory projects — from an effort to exploit inter-microbial warfare in the search for new antibiotics to the development of A.I. for the transcription of ancient documents — have been selected to receive support through the Dean for Research Innovation Funds.  PRINCETON.EDU Projects that blaze new trails in research will receive Dean for Research Innovation funding,2021-08-05 13:33:41,👌🏿👌🏿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
